ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,host_country,is_host,type_of_event
10160,Brooke Marie Bennett (-Frioud),F,20.0,165.0,57.0,USA,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 800 metres Freestyle,Gold,Australia,False,individual_games
10161,Charles Bennett,M,29.0,,,UK,GBR,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 1,500 metres",Gold,France,False,individual_games
10161,Charles Bennett,M,29.0,,,UK,GBR,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 4,000 metres Steeplechase",Silver,France,False,individual_games
10163,Douglas Haig Bennett,M,29.0,,,Canada,CAN,1948 Summer,1948,Summer,London,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver,UK,False,individual_games
10171,John Dale Bennett,M,26.0,172.0,68.0,USA,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Long Jump,Silver,Australia,False,individual_games
10198,Joan Benoit (-Samuelson),F,27.0,157.0,46.0,USA,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Marathon,Gold,USA,True,individual_games
10230,Neisser Santiago Bent Vzquez,M,19.0,170.0,67.0,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Backstroke,Bronze,USA,False,individual_games
10259,Matej Beu,M,28.0,196.0,83.0,Slovakia,SVK,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver,Brazil,False,individual_games
10262,"Giovanni ""Nino"" Benvenuti",M,22.0,178.0,67.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Welterweight,Gold,Italy,True,individual_games
10303,Gheorghe Berceanu,M,22.0,150.0,51.0,Romania,ROU,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Gold,Germany,False,individual_games
10303,Gheorghe Berceanu,M,26.0,150.0,51.0,Romania,ROU,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver,Canada,False,individual_games
10310,Tibor Berczelly (Berczeller-),M,40.0,,,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Men's Sabre, Individual",Bronze,Finland,False,individual_games
10329,Adem Bereket,M,27.0,175.0,76.0,Turkey,TUR,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze,Australia,False,individual_games
10343,Zoltn Bres,M,24.0,185.0,83.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Light-Heavyweight,Bronze,Spain,False,individual_games
10345,Jack Beresford,M,21.0,,,UK,GBR,1920 Summer,1920,Summer,Antwerpen,Rowing,Rowing Men's Single Sculls,Silver,Belgium,False,individual_games
10345,Jack Beresford,M,25.0,,,UK,GBR,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Single Sculls,Gold,France,False,individual_games
10349,Oleksandr Mykolaiovych Beresh,M,22.0,171.0,64.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,Bronze,Australia,False,individual_games
10352,Dmitry Vladimirovich Berestov,M,24.0,180.0,105.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Heavyweight,Gold,Greece,False,individual_games
10381,Eero Edvin Berg,M,26.0,167.0,58.0,Finland,FIN,1924 Summer,1924,Summer,Paris,Athletics,"Athletics Men's 10,000 metres",Bronze,France,False,individual_games
10411,Giancarlo Bergamini,M,30.0,,,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's Foil, Individual",Silver,Australia,False,individual_games
10423,Guttorm Berge,M,22.0,,,Norway,NOR,1952 Winter,1952,Winter,Oslo,Alpine Skiing,Alpine Skiing Men's Slalom,Bronze,Norway,True,individual_games
10425,Stig Andr Berge,M,33.0,167.0,60.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze,Brazil,False,individual_games
10448,"Isaac ""Ike"" Berger",M,20.0,157.0,59.5,USA,USA,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Featherweight,Gold,Australia,False,individual_games
10448,"Isaac ""Ike"" Berger",M,23.0,157.0,59.5,USA,USA,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Featherweight,Silver,Italy,False,individual_games
